"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"EAST 2","12844 - PT9","REESHAV AUTOMOBILES PVT LTD","Nexa","B3591216869","Customer stated that they had their vehicle serviced; while the service center did perform the service, the specific issue that needed to be resolved was not addressed. Consequently, the customer is completely dissatisfied with the service center and has requested that a concern be raised regarding this matter.
Resolution - I have informed the customer that i has shared your concern with the team, our team will coordinate with you as soon as possible.
","2026-06-21 10:33:06.757455","1170305@maruticrm.onmicrosoft.com","2026-06-21 10:33:06.757455","1170305@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","12786 - NOD","RAHUL MOTORS","Arena","B8798733743","customer wanted to know the tyre warranty hence shared the CCM and WM number.","2026-06-21 10:32:59.909727","81110952@maruticrm.onmicrosoft.com","2026-06-21 10:32:59.909727","81110952@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 1","15811 - ALQ","AHER AUTOPRIME LLP","Nexa","B6585829853","customer is reporting an issue with the Suzuki Connect app, stating that it has been displaying the incorrect vehicle location for the past seven days. The customer has already been informed about the troubleshooting steps and will be sharing screenshots of the issue shortly for further investigation.","2026-06-21 10:32:55.74684","81107380@maruticrm.onmicrosoft.com","2026-06-21 10:32:55.74684","81107380@maruticrm.onmicrosoft.com","OPEN","Query-Suzuki Connect-Gen 2","OPEN","1",NULL,NULL
"NORTH 3","10355 - BAR","BRIGHT 4 WHEEL SALES PVT. LTD.","Arena","B6467407984","The customer is very unhappy with the recent vehicle service done at the service station. They stated that the car was not washed properly and the actual servicing was not done well. Additionally, the rubber piece near the engine and tire area was damaged. The customer previously contacted customer care about these issues, but they did not get any resolution, which has made them extremely frustrated.","2026-06-21 10:31:41.126857","81122568@maruticrm.onmicrosoft.com","2026-06-21 10:31:41.126857","81122568@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 4","10039 - SNR","JAGMOHAN MOTORS PVT LTD","Arena","B8738468569","The customer stated that they purchased the car last month and it already has an electrical fault. They have left the vehicle at the service center, but the staff claims that repairs will take 10 days because they do not have the required parts. As a result, the customer is irritated and wants an immediate resolution.so I provided the  Works Manager (WM), Customer Care Manager (CCM), and General Manager (GM)
","2026-06-21 10:31:32.411922","1153962@maruticrm.onmicrosoft.com","2026-06-21 10:31:32.411922","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","14633 - XYZ","RADHAGOVIND WHEELS INDIA PVT LTD","Nexa","B3485622169","Customer has confirmed that he is facing the issue related to mileage. Customer wants service booking for his car; hence request raised to nearest service center.

","2026-06-21 10:29:40.598202","1170272@maruticrm.onmicrosoft.com","2026-06-21 10:29:40.598202","1170272@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 4","15341 - RGB","UNITARA MOTORS PVT LTD","Arena","B1819628175","
The customer had bought this car in March and during booking the sales person vimal had told that they would give wheel covers and back camera along with the car to the customer. The sales person had left the job and the customer wanted the accessories which were mentioned at the time of commitment, so I shared the number of the showroom manager with him.
","2026-06-21 10:28:50.342359","81113661@maruticrm.onmicrosoft.com","2026-06-22 09:01:00.442401","qcmsales@unitaramotors.com","Close Initiated","Query - Sales","Active","1",NULL,NULL
"EAST 2","16769 - BIM","ALANKAR AUTO SALES & SERVICE PVT. LTD.","Nexa","B9280029472","Customer's car met with an accident 17 days ago, and it has been at the service center ever since.The car had developed a noise-related issue and was taken in for repairs; the service center has kept the vehicle but hasn't returned it yet, nor are they providing any response regarding when the issue will be resolved.

Resolution - I have informed the customer that i has shared your concern with the team, our team will coordinate with you as soon as possible.","2026-06-21 10:28:30.929306","1170305@maruticrm.onmicrosoft.com","2026-06-21 10:28:30.929306","1170305@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","15872 - TBL","TANYA AUTOMOBILES PRIVATE LIMITED","Nexa","B4215462936","Customer facing body noise issue from 6 months and visited workshop multiple times ,still issue not resolved . workshop not able to find the issue , staff suggested to change suspension but as checked suspensions are in good condition hence demanded repair still not completed , customer looking for resolution, hence query raised as customer satisfied with FCR , WM no shared for further resolution .","2026-06-21 10:28:15.810144","81113790@maruticrm.onmicrosoft.com","2026-06-21 10:28:15.810144","81113790@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 1","13274 - SKE","JYOTE MOTORS (BENGAL) PVT. LTD.","Arena","B3507225865","The customer want to know whether the dealer charger the amount for the offer letter while purchasing the car ,Hence i pitch the FCR , raised the query and shared the QCM number . ","2026-06-21 10:27:52.154579","81113664@maruticrm.onmicrosoft.com","2026-06-21 10:27:52.154579","81113664@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"NORTH 4","15419 - BIN","PASCO AUTOMOBILES","Nexa","B5763018744","customer wants confirmation regarding his online accessories booking","2026-06-21 10:27:22.875679","1157614@maruticrm.onmicrosoft.com","2026-06-21 10:27:22.875679","1157614@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","13285 - OPK","AKANKSHA AUTOMOBILES (RUDRAPUR) PVT.LTD.","Arena","B7717704837","The customer states that they had a car servicing appointment scheduled for today and visited the workshop accordingly. However, the customer concern that they have been waiting since morning, but their car has not been attended to or serviced yet. Customer stating that the workshop facilities are not proper. The customer is saying that their car be serviced and handed over to them as soon as possible. Hence query has been raised.","2026-06-21 10:26:40.638104","81110974@maruticrm.onmicrosoft.com","2026-06-21 10:26:40.638104","81110974@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 4","10779 - IND","PATEL MOTORS (INDORE) PVT LTD","Arena","B9283915306","Car Owner Name:  VIJAY
Car Registration : MP43ZL1946
DEALER NAME -  PATEL MOTORS (INDORE) PVT LTD
DEALER ADDRESS - 76 C,D,E, INDUSTRIAL AREA, JAORA ROAD, RATLAM. PIN: 457001
Customer contacted- NA 
The customer dropped off their car at the service center on May 29th for the 3rd free service. After the servicing, the car's AC stopped working properly, which has left the customer highly dissatisfied. The customer stated that the service center staff is inexperienced and lacks knowledge about AC systems. Furthermore, when the customer spoke to the dealer, they did not receive a proper response. Even after driving the car for 10,000 km and having it inspected, the dealer continues to ignore the issue. The customer is demanding an immediate solution for this problem. Customer said that i want he car checked by any senior technician and want the resolution . Hence Query raised 

","2026-06-21 10:26:10.619591","1153962@maruticrm.onmicrosoft.com","2026-06-21 10:26:10.619591","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","13406 - SAR","PEAKS AUTO PVT LTD","Nexa","B5463162260","CUSTOMER VOC : I am writing to formally lodge a complaint against NEXA Gandhi Nagar, Jammu regarding deficiencies in the delivery of my Maruti Suzuki Fronx despite full payment having been made at the time of purchase.Even after more than four and a half months from the date of delivery, the following issues remain unresolved:1. Non-Delivery of Basic Tool KitDuring the Pre-Delivery Inspection (PDI) and at the time of vehicle delivery, it was observed that the basic tool kit supplied with the vehicle was missing. The dealership representatives assured me that the same would be provided shortly. However, despite repeated follow-ups over the last four and a half months, the tool kit has still not been handed over.2. FASTag Not Provided Despite Collection of PaymentAt the time of vehicle purchase, the dealing manager informed me that an amount of ₹800/- was being collected towards FASTag charges and assured me that the FASTag would be issued and delivered shortly. Relying upon these assurances, I made the payment.However, despite repeated reminders and follow-ups, the dealership has neither provided the FASTag nor refunded the amount of ₹800/- collected for the same. Instead, I have continuously been given excuses and assurances without any concrete resolution.Vehicle  Details:Model: Maruti Suzuki FRONX DELTA+ 1.2L 5MT BS6Fuel Type: PetrolVehicle Colour: Pearl Arctic WhiteYear of Manufacture: 2025 Engine/Chassis No.: K12NP7770592 / MBHKWD13SSM754324 Delivery Date: 04-02-2026 The conduct of the dealership in unnecessarily delaying the matter for more than four and a half months reflects a serious deficiency in customer service and has caused considerable inconvenience.In view of the above, I request Maruti Suzuki/NEXA to kindly intervene and direct the dealership to:Immediately provide the pending basic tool kit.Provide the FASTag forthwith or refund the amount of ₹800/- collected towards FASTag.
Furnish a written explanation regarding the undue delay in resolving these issues.I request that the matter be resolved within Three (03) days of receipt of this complaint, failing which I shall be constrained to pursue the matter through appropriate consumer grievance redressal forums.I look forward to your prompt intervention and resolution.As desired by you, please find below the requisite information.Registration Number: JK02DT8615
Dealer Name: PEAKS AUTO JAMMU PRIVATE LIMITED ~ 4-AC, GREEN BELT PARK, JAMMU, 180001-JAMMUJAMMUJAMMU AND KASHMIR180001>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>SYNOPSIS>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>The customer concern regarding the deficiencies in the delivery of a Maruti Suzuki Fronx by NEXA Gandhi Nagar, Jammu (Peaks Auto Jammu Private Limited) involves multiple long-standing unresolved issues despite full payment being made at the time of purchase. Sourav Sharma, owner of the Pearl Arctic White 2025 petrol vehicle (Model: Maruti Suzuki FRONX DELTA+ 1.2L 5MT BS6, Engine No: K12NP7770592, Chassis No: MBHKWD13SSM754324, Registration Number: JK02DT8615), notes that the dealership has unnecessarily delayed matters for more than four and a half months since the delivery date on 04-02-2026. Specifically, the basic tool kit was discovered missing during the Pre-Delivery Inspection (PDI) and at delivery, and despite repeated follow-ups on the dealership's verbal assurances, it remains unprovided. Furthermore, the dealing manager collected ₹800 towards FASTag charges, but the dealership has failed to issue the FASTag or refund the money, offering only excuses. The customer requests Maruti Suzuki/NEXA to intervene, direct the dealer to immediately supply the tool kit, provide the FASTag or refund the ₹800, and furnish a written explanation for the delay. The customer demands a resolution within three days of receipt of this complaint, failing which they will pursue legal remedies through consumer grievance redressal forums. Kindly look into this matter.


","2026-06-21 10:25:32.957819","81115529@maruticrm.onmicrosoft.com","2026-06-21 10:25:32.957819","81115529@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"CENTRAL 3","15262 - DGN","SHRI MANGALAM AUTO PVT LTD","Arena","B2718220644","customer unable to use the infotainment system hence shared the CCM and WM number.","2026-06-21 10:25:18.314922","81110952@maruticrm.onmicrosoft.com","2026-06-21 10:25:18.314922","81110952@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","14086 - AJD","KTL AUTOMOBILES","Arena","B6530809993","The customer's concern is that his car's engine oil is leaking after the servicing. So I registered a query from my end and shared the customer care manager's contact number with him. Subsequently, I also transferred his call to the MOS department for on-road assistance. ","2026-06-21 10:25:11.81694","81113798@maruticrm.onmicrosoft.com","2026-06-21 10:25:11.81694","81113798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","10389 - MDR","TM MOTORS PVT. LTD.","Nexa","B9508124069"," vehicle was given to the workshop for servicing, but the customer is repeatedly being told that the parts are still unavailable. A significant amount of time has already passed, yet the parts are out of stock. Kindly help the customer, as they are extremely angry. The customer has taken the TSM's (Territory Service Manager) number, as neither the workshop manager nor the general manager attended to them. Kindly provide a resolution to the customer.","2026-06-21 10:24:03.326827","1153945@maruticrm.onmicrosoft.com","2026-06-21 10:24:03.326827","1153945@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","15525 - MMM","MERAK VEHICLES A UNIT OF ONE 3 VENTURES","Arena","B8191861819","Dear Sir, 
                On June 20, 2026, I took my car to the Maruti Merak showroom located at Agra Sabzi Mandi, Sikandra, for servicing. The service advisor, Kedar, behaved rudely with me and even used abusive language. He said, ""Your car won't be serviced right now; let's see who in this company services your car."" Dismissing the procedure as trivial, he insisted that I install a specific app. I did not have the mobile number linked to the registration with me and suggested using a different number; at this, the advisor became rude. He insisted that the car would only be serviced if I brought the registered mobile number, stating that service would be denied otherwise. An acquaintance of mine, who is a mechanic, intervened and tried to explain to the advisor that he should not behave this way—pointing out that I was a customer—but the advisor did not listen and continued his rude behavior. Please respond to this email.=============================================Synopsis=================================On June 20, 2026, a customer visited the Maruti Merak showroom at Agra Sabzi Mandi, Sikandra, for a routine vehicle service and experienced severe misconduct from service advisor Kedar. The advisor reportedly behaved rudely, used abusive language, and flatly refused to service the vehicle, challenging the customer by stating, ""let's see who in this company services your car."" [1] The confrontation escalated when the advisor insisted on the installation of a specific application. Because the customer did not have the mobile number linked to the vehicle registration, they suggested using an alternate number. The advisor rejected this request and stated that service would be denied unless the registered number was provided. Even when an acquaintance of the customer—who is also a mechanic—intervened to de-escalate the situation and remind the advisor of proper customer service ethics, the advisor remained dismissive and continued his hostile behavior.","2026-06-21 10:19:27.914866","81110968@maruticrm.onmicrosoft.com","2026-06-21 10:19:27.914866","81110968@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 4","10956 - SPI","PREM MOTORS PVT. LTD.","Arena","B3667484024","The customer wanted information regarding the CCP (Customer Convenience Package) with PMS (Periodic Maintenance Service), so I provided them with the Works Manager's (WM) number.","2026-06-21 10:19:26.552144","1153962@maruticrm.onmicrosoft.com","2026-06-21 10:19:26.552144","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 4","16167 - LOI","KATHED MOTOCORP","Arena","B4504133952","The customer was facing a pick-up issue with their car and had visited the workshop twice, but was told the repair would not be covered under warranty. The customer is extremely distressed because a sum of ₹22,000 was demanded; hence, this query has been raised. Shared the number of CCM.","2026-06-21 10:18:59.0783","1158007@maruticrm.onmicrosoft.com","2026-06-21 10:18:59.0783","1158007@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","14331 - PLO","JAGMOHAN AUTOMOTIVES PVT. LTD.","Nexa","B4833083011","As per telephonic conversation customer stated that he brought his vehicle to the workshop for an insurance claim. The workshop staff advised him that they would manually mark additional scratches on the vehicle to help secure the claim approval. However, despite doing this, the insurance claim was entirely rejected. As a result, the customer did not even receive approval for the genuine damages, and the vehicle remains stranded at the workshop. Hence customer is seeking MSIL assistance in  this matter. ","2026-06-21 10:18:17.181044","81113855@maruticrm.onmicrosoft.com","2026-06-21 10:18:17.181044","81113855@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","15275 - VFM","FAIR DEAL PREMIUM WHEELS PVT. LTD.","Nexa","B0573844943","Customer VOC: My name is Amit Kumar Tyagi, I lived in Delhi Till 30 March 2026, and now I have moved to Ahmedabad in April 2026 due to my transfer. Actually, I booked a car ""Baleno""- Sigma/ Base petrol in March 2026 with ""Fairdeal Premium Wheels Pvt Ltd, , Noida"". I got my vehicle insurance in May 2026 last week which had chassis no. K12NP4924513 - MBHHWB13STDC77870 and insurance policy no. 2367/84876892/00/000 (also proof attached). But till today, I have not received my vehicle invoice and my vehicle also. I have visited the showroom more than 10 times, and as I am sending my brother ""Gaurav"" to take the vehicle from the showroom, they (dealership sale's person) are telling that the vehicle will be given today or tomorrow. This is a repeated process till today since 25 May 2026. I kindly request you please look into this regard as from my side the entire payment (of my vehicle) and till today I am with empty hands.I am writing this email as my grievance remains unresolved despite my previous communications in trail mail. To date, neither the invoice of my vehicle has been provided to me nor has the vehicle been delivered, despite completion of all required formalities from my side. As only vehicle insurance is provided to me (already attached), as we all know it is mandate to mention that for issuance of a vehicle insurance policy, the following documents/details are generally required (on spot): Complete payment of the vehicle's amount – which has already been made by me. Physical verification of the vehicle/chassis number for insurance (for people who issue the insurance). Vehicle invoice/bill containing details such as vehicle value, model, colour, and other specifications. Despite repeated requests to the showroom, the vehicle invoice has not been provided to me. Further, the showroom manager has been continuously delaying and avoiding providing the required invoice and related documents without assigning any valid reason. Such unexplained delay raises serious concerns regarding the transaction and causes unnecessary problems to me. I hereby request you to: Immediately provide the original vehicle's invoice and all related documents. Clarify the reasons for withholding the invoice despite full payment. Ensure prompt delivery of the vehicle without any further delay with a final date. Please treat this communication as a final request for my resolution. In the event the invoice and vehicle are not provided within 48 hours of receipt of this email, I shall be constrained to seek appropriate legal remedies (according to BNSS 2023) available under applicable laws like BNS Section 318(4) and BNS Section 316, including filing complaints before the Consumer Disputes Redressal Commission and approaching the competent authorities for investigation of any unfair trade practice, misrepresentation, or other violations that may be disclosed from the facts of this case. I request your immediate intervention and a written response at the earliest.===========Synopsis of VOC: As per the previous telephonic Customer, who relocated from Delhi to Ahmedabad due to a job transfer, is facing severe financial exposure and deceptive practices by the ""Fairdeal Premium Wheels"" Nexa showroom in Noida regarding his booked Maruti Baleno Sigma. Despite completing the full vehicle payment and receiving an official vehicle insurance policy (Policy No. 2367/84876892/00/000, Chassis No. MBHHWB13STDC77870) in late May 2026, the dealership has completely withheld both the retail vehicle invoice and the car itself. Since May 25, 2026, the showroom staff has continuously given false daily commitments to the customer's brother, Gaurav, who has visited the showroom over ten times to collect the car. Because generating an insurance policy legally requires full payment, vehicle invoicing, and physical chassis verification, the dealership's ongoing refusal to hand over the billing documents or assign a delivery date raises massive compliance concerns. Consequently, the buyer is issuing a strict 48-hour ultimatum for immediate vehicle delivery and original invoice handover, failing which he will initiate formal criminal and civil legal proceedings under the Bharatiya Nyaya Sanhita (BNS 2023) for cheating and criminal breach of trust, alongside a filing with the Consumer Disputes Redressal Commission. Note: As per the telephonic conversation customer currently loacted in Gujarat, booked a vehicle on March 6th through a local dealer who promised to source it from another state and verbally assured delivery by May 25th. Despite full payment being made and a chassis number and insurance being generated, the dealer has continuously delayed delivery with false daily timelines and Furhermore dealer failed to provide any official invoice, booking form, or payment receipt. The customer is experiencing severe distress due to this lack of transparency and multiple failed follow-ups, and they are demanding strict disciplinary action against the dealership along with the immediate delivery of the vehicle and its official purchase invoice.","2026-06-21 10:17:58.89772","81109915@maruticrm.onmicrosoft.com","2026-06-21 10:17:58.89772","81109915@maruticrm.onmicrosoft.com","New","Query - Sales","Active","2",NULL,NULL
"NORTH 2","12924 - MOZ","JAMKASH VEHICLEADES (KASHMIR) PVT LTD","Arena","B0485803354","The customer went to the workshop on 21/06/2026. The workshop called him and invited him because he is a regular customer and there are special service offers. But now, they are refusing to wash the car. hence FCR pitched and shared the CCM and WM number. query has been raised.","2026-06-21 10:17:53.173049","81110952@maruticrm.onmicrosoft.com","2026-06-21 10:17:53.173049","81110952@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","12405 - FGT","VIPUL MOTORS PVT LTD","Nexa","B8069024672","Customer want insurance claim for his car, hence request raised to nearest service center.
","2026-06-21 10:17:23.11203","1170272@maruticrm.onmicrosoft.com","2026-06-21 10:17:23.11203","1170272@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","13440 - NUA","PLATINUM MOTOCORP LLP","Arena","B3394054691","The customer's car stalled while driving. Upon contacting the service center, they were informed that the battery had drained. The customer pointed out that the car was only two years old, but the service center stated that the warranty period was two years; the customer did not agree with this.","2026-06-21 10:13:27.947082","1170305@maruticrm.onmicrosoft.com","2026-06-21 10:13:27.947082","1170305@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","15515 - CDV","VARUN MOTORS","Arena","B9182916202","The customer, who lives in Ranasthalam, is deeply disappointed after trying to buy a top-variant, white Maruti Suzuki Brezza ZXI Plus. When they visited the showroom a few days ago, the dealership staff tried to pressure them into choosing a different color because the white one was out of stock. The customer refused and insisted on only wanting white, so the staff promised to look into its availability. However, the dealership called the customer this morning to flatly state that this specific model and color are completely unavailable, forcing the customer to return home empty-handed. The customer is frustrated by the lack of options and is asking for advice on what steps to take next.","2026-06-21 10:13:10.155909","81111099@maruticrm.onmicrosoft.com","2026-06-21 10:13:10.155909","81111099@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"EAST 1","10774 - PSG","BEEKAY AUTO PVT LTD","Arena","B8414457008","Customer is facing problem with Smart Play Studio. hence share the dealer details.
","2026-06-21 10:12:33.423975","81102452@maruticrm.onmicrosoft.com","2026-06-21 10:12:33.423975","81102452@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","10364 - BMS","MAHALAXMI AUTOMOTIVES PVT. LTD.","Arena","B1753156477","""Customer called & said that he is unable to login in his Suzuki connect application. As checked Cancel Contract has been initiated. Inform customer for the same & also inform that Cancel Contract has been initiated on “ 20/06/2026 ”. In this case now dealership has to do the enrolment again & enrolment will be done at dealership only. And after complete the enrolment process he has to drive his vehicle for the activation after that he able to login in his Suzuki connect application. So asked customer for dealership details & Customer shared the same. 

Cancel Contract initiated on:- 20/06/2026
Enrolment done on:-13/06/2026
After Cancel Contract initiated done:- No""
","2026-06-21 10:10:42.000557","81105390@maruticrm.onmicrosoft.com","2026-06-22 09:30:21.427093","Aman.Luthia@maruti.co.in","Close","Query - Sales","Close","1","2026-06-22 09:30:21.427103",NULL
"NORTH 3","10048 - JSI","SURI AUTOMOBILES","Arena","B9644392367","The customer's concern was that when he went to the service centre for servicing, he was made to wait for 4 hours and no reply was given, he was not behaving properly, the customer says this has happened to him and the higher authorities there have also informed him, the customer says that his concern should be escalated on a higher priority basis.","2026-06-21 10:10:25.638168","81130305@maruticrm.onmicrosoft.com","2026-06-21 10:10:25.638168","81130305@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","13411 - MBR","PREMSONS MOTOR UDYOG PVT.LTD.","Nexa","B4281016534","Customer called and raised a query and he didnt receive the GM number. Hence i have provide GM number. ","2026-06-21 10:08:37.615988","81122506@maruticrm.onmicrosoft.com","2026-06-21 10:08:37.615988","81122506@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"WEST 2","14663 - MIR","SIDDHI WHEELS (A UNIT OF TARALEKAR MOTORS PVT","Arena","B2505170953","I submitted my car to Maruti Suzuki Arena (Siddhi Wheels, Sangli-Miraj Road, Miraj) for insurance-covered repairs following damage to the front section, but the repair work was not carried out properly. 

My car number MH10EV4256

1. Front side colour not repair 
2. Light scratch not repair ========================================SYNOPSIS========================================= Customer concern is regarding he reported that Siddhi Wheels (Maruti Suzuki Arena) on the Sangli-Miraj Road in Miraj failed to properly complete the insurance-covered repairs on their vehicle (registration number MH10EV4256) following front-end damage. Specifically, the service center left the front-side paint unrepaired and failed to fix the light scratches on the car. Kindly look into this matter at the earliest.

","2026-06-21 10:05:25.585931","81107375@maruticrm.onmicrosoft.com","2026-06-21 10:05:25.585931","81107375@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","11080 - VIY","JAYABHERI AUTOMOTIVES PVT LTD","Arena","B9118624620","""The customer visited the workshop to get their vehicle serviced but reported that they are being significantly overcharged for everything. According to the customer, an extra amount of ₹6,000 is being demanded. They were previously promised discounts on servicing, labour charges, and parts. However, now that the service is complete, the customer is being informed that no discounts will be provided. The customer is extremely distressed regarding this issue.""  JAYABHERI AUTOMOTIVES PVT LTD D.NO.40/17-192/1H, LABBIPET, VIJAYAWADA, . PIN: 520010","2026-06-21 10:04:46.446273","1153949@maruticrm.onmicrosoft.com","2026-06-21 10:04:46.446273","1153949@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 4","12259 - PNA","CITY CARS (UNIT OF AGARWAL WHEELS)","Arena","B9746421163","The customer had get the vehicle serviced and now the customer has received a message that update the customer's number but the customer has not updated any number so I have raise a query.","2026-06-21 10:04:06.813081","81110954@maruticrm.onmicrosoft.com","2026-06-21 10:04:06.813081","81110954@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","50228 - MNC","MAGIC AUTO PVT LTD","True Value","B1469625561","Customer issue regarding the failure to execute an official vehicle ownership transfer for a Maruti Suzuki WagonR LXI exchanged at the authorized dealership on 28.07.2023. Despite the passage of nearly three years since surrendering the asset, the vehicle remains registered under the customer's name in the Transport Department's database. As a direct result of this administrative negligence, the former owner is routinely receiving electronic traffic challans and statutory notices, exposing them to unwarranted legal and financial liabilities for violations committed by the current possessor. A strict 7-day ultimatum is issued to update the transport records and provide verified copies of the RTO submission paperwork.","2026-06-21 10:03:40.462085","81110966@maruticrm.onmicrosoft.com","2026-06-21 10:03:40.462085","81110966@maruticrm.onmicrosoft.com","OPEN","Query-True Value","OPEN","2",NULL,NULL
